,SW,PHIF,VSH
24706,1.0,0.086,0.254
2504,0.8402,0.1198,0.2953
19299,1.0,0.05,0.287
3301,1.0,0.1229,0.2667
25978,0.18100000000000002,0.21899999999999997,0.132
23775,0.18600000000000003,0.17600000000000002,0.325
10152,0.2872,0.2579,0.2927
17161,0.10099999999999999,0.24,0.10400000000000001
26756,0.309,0.21600000000000003,0.18100000000000002
27596,0.925,0.19,0.146
16256,0.326,0.16399999999999998,0.306
926,1.0,0.02,0.3357
21755,0.514,0.22,0.046
21665,0.414,0.223,0.043
9708,0.2671,0.2194,0.2635
26574,0.36700000000000005,0.129,0.17
8049,0.1032,0.2345,0.0335
13083,0.43700000000000006,0.235,0.27
5397,0.3942,0.2161,0.3381
3426,1.0,0.0969,0.4053
25646,0.16399999999999998,0.204,0.154
21469,1.0,0.03,0.58
8373,0.2274,0.243,0.3185
19898,1.0,0.03,0.441
22558,0.12300000000000001,0.255,0.171
1117,1.0,0.1011,0.1971
16972,0.401,0.2,0.38
21163,0.136,0.24600000000000002,0.175
22488,0.131,0.247,0.157
11851,1.0,0.0384,0.4342
15553,0.11599999999999999,0.255,0.20800000000000002
5361,0.5683,0.2178,0.2974
27443,0.79,0.183,0.214
845,0.8724,0.0814,0.2315
4496,0.6573,0.1845,0.2584
9913,0.3081,0.2073,0.3286
13343,0.321,0.221,0.387
3207,1.0,0.0727,0.1915
13756,0.682,0.109,0.198
10638,0.4728,0.2201,0.3205
23804,0.18899999999999997,0.15,0.243
16385,0.26,0.24600000000000002,0.34700000000000003
24515,1.0,0.135,0.309
2535,0.2594,0.2217,0.0604
24296,1.0,0.071,0.505
14192,1.0,0.04,0.718
3447,0.7831,0.2025,0.1968
13235,0.22,0.145,0.203
1113,0.9663,0.0847,0.2179
8595,0.4306,0.1949,0.3067
1746,1.0,0.0524,0.4108
11061,0.20199999999999999,0.2504,0.1244
13992,1.0,0.066,0.741
8755,0.5016,0.2299,0.3549
5150,1.0,0.0885,0.6067
4637,1.0,0.17300000000000001,0.56
2191,1.0,0.067,0.308
20723,0.094,0.257,0.231
17175,0.1,0.24,0.107
6294,0.5282,0.1758,0.4433
26682,0.375,0.152,0.20800000000000002
2058,1.0,0.0725,0.4891
23383,0.514,0.078,0.475
24176,1.0,0.091,0.545
24497,1.0,0.12,0.294
10005,0.2989,0.1616,0.2347
15070,1.0,0.046,0.415
24640,0.812,0.11900000000000001,0.301
7248,0.4601,0.1571,0.1997
3097,0.919,0.1941,0.2286
19663,0.11599999999999999,0.23600000000000002,0.086
11991,1.0,0.0694,0.6034
26604,0.248,0.204,0.188
21928,0.441,0.212,0.085
22768,0.136,0.249,0.184
16028,0.569,0.12300000000000001,0.43700000000000006
23721,0.527,0.052000000000000005,0.491
8659,0.4205,0.2459,0.3304
234,1.0,0.0867,0.4848
5433,0.514,0.158,0.3167
8604,0.3837,0.2237,0.285
603,1.0,0.1205,0.2409
27053,0.428,0.207,0.045
380,0.9312,0.1163,0.46
8484,0.3803,0.214,0.3586
26788,0.526,0.2,0.337
21642,0.36,0.17600000000000002,0.064
5048,1.0,0.0802,0.5659
2577,1.0,0.0783,0.2967
9589,0.2464,0.2086,0.252
7501,0.3342,0.2002,0.2976
7148,0.4813,0.0793,0.2134
629,1.0,0.1497,0.4463
2495,0.5295,0.1219,0.1317
22984,0.24600000000000002,0.125,0.276
6639,0.2807,0.2667,0.2557
20487,0.185,0.14800000000000002,0.12
2074,1.0,0.0215,0.3482
4307,0.7888,0.2257,0.0261
10679,0.6655,0.1813,0.3687
882,1.0,0.0657,0.3954
15964,0.741,0.08800000000000001,0.457
11205,0.1637,0.2179,0.1038
23313,0.111,0.21600000000000003,0.161
15710,0.465,0.26,0.177
11705,0.2928,0.1832,0.1257
2822,0.3298,0.2061,0.1588
11729,0.3062,0.1768,0.1173
16661,0.34600000000000003,0.13,0.386
15994,1.0,0.055999999999999994,0.42
395,1.0,0.02,0.3101
6276,0.9745,0.1747,0.4525
8752,0.5103,0.2228,0.3561
8732,0.4871,0.2301,0.35600000000000004
324,0.7962,0.1802,0.2698
19050,0.371,0.098,0.41600000000000004
2744,0.3525,0.1884,0.0553
23441,0.12300000000000001,0.201,0.321
2388,1.0,0.0321,0.3349
26006,0.18899999999999997,0.213,0.16
10056,0.3456,0.2064,0.2863
6372,0.9724,0.1884,0.3433
16418,0.325,0.18600000000000003,0.39899999999999997
27627,0.985,0.17600000000000002,0.124
7030,0.2044,0.2563,0.2246
13286,0.261,0.251,0.21600000000000003
22105,0.44,0.21100000000000002,0.11900000000000001
10456,0.3281,0.2034,0.2661
24757,1.0,0.042,0.444
9756,0.2593,0.2111,0.2477
7757,0.4541,0.1245,0.35700000000000004
23102,0.13699999999999998,0.231,0.155
6687,0.3381,0.2437,0.2686
22610,0.14300000000000002,0.247,0.184
6876,0.2913,0.2379,0.271
5608,1.0,0.0633,0.3435
25005,1.0,0.09300000000000001,0.49
27347,0.652,0.228,0.305
24520,1.0,0.138,0.324
25722,0.15,0.252,0.213
16890,0.22,0.18899999999999997,0.276
14524,1.0,0.065,0.18600000000000003
22060,0.467,0.215,0.084
26363,0.385,0.125,0.05
23119,0.126,0.255,0.135
6571,0.7569,0.0781,0.4029
13844,1.0,0.028999999999999998,0.7959999999999999
23164,0.113,0.233,0.14800000000000002
8374,0.2286,0.2433,0.3202
6426,1.0,0.02,0.1833
9475,0.1617,0.2283,0.154
3513,1.0,0.1003,0.3686
7885,0.3671,0.2073,0.2962
914,1.0,0.0469,0.2534
3659,1.0,0.0665,0.4116
16538,0.555,0.08900000000000001,0.4
8381,0.2663,0.2448,0.3206
26339,0.385,0.132,0.043
1578,1.0,0.1008,0.3083
3277,1.0,0.0734,0.3328
6175,0.9193,0.1673,0.4082
16233,0.256,0.17,0.256
10073,0.2878,0.2276,0.302
10540,0.39899999999999997,0.2163,0.3344
7320,0.2271,0.2251,0.2375
8109,0.2572,0.2286,0.0994
4990,1.0,0.0471,0.4889
3843,1.0,0.0879,0.3083
22109,0.469,0.203,0.138
9512,0.1881,0.2253,0.1582
22016,0.449,0.207,0.09300000000000001
5088,0.9045,0.121,0.5015
8098,0.6856,0.2211,0.07
25360,0.22399999999999998,0.18600000000000003,0.18600000000000003
6676,0.2619,0.2651,0.2489
23374,1.0,0.059000000000000004,0.539
6914,0.2481,0.1962,0.2292
3139,1.0,0.1399,0.1918
13846,1.0,0.038,0.8240000000000001
723,1.0,0.02,0.3447
1802,1.0,0.02,0.6145
21694,0.436,0.196,0.057
25491,0.188,0.21100000000000002,0.136
8258,0.3023,0.235,0.2465
6051,0.7312,0.1211,0.4904
11016,0.2399,0.2199,0.1104
23198,0.102,0.203,0.14
3304,1.0,0.1428,0.2031
4898,0.9745,0.1655,0.5402
15481,0.42200000000000004,0.111,0.44799999999999995
6253,0.7713,0.1389,0.4496
13359,0.275,0.203,0.155
26450,0.358,0.19899999999999998,0.159
5129,0.9721,0.0999,0.4746
8461,0.384,0.2324,0.331
6774,0.3652,0.2611,0.2971
24992,1.0,0.064,0.494
21692,0.42200000000000004,0.196,0.051
9755,0.2605,0.2114,0.2384
1324,1.0,0.1782,0.2076
20811,0.12300000000000001,0.27399999999999997,0.171
13652,0.314,0.24600000000000002,0.165
24593,1.0,0.113,0.282
11765,0.2583,0.1986,0.0869
2463,0.1012,0.2271,0.0175
3078,0.9857,0.1668,0.2415
21710,0.48100000000000004,0.198,0.059000000000000004
10925,0.7189,0.1151,0.2184
27469,0.6609999999999999,0.205,0.134
7468,0.4537,0.1507,0.2587
4778,1.0,0.0396,0.313
1586,1.0,0.124,0.3271
23310,0.111,0.212,0.171
4016,1.0,0.0975,0.3312
842,1.0,0.0377,0.2681
25744,0.639,0.092,0.395
2176,1.0,0.0856,0.5487
7396,0.2545,0.228,0.2972
372,0.892,0.1366,0.4927
19809,0.366,0.16899999999999998,0.39399999999999996
11738,0.2996,0.1787,0.10300000000000001
2685,0.4173,0.1676,0.1193
4849,0.6975,0.0863,0.6051
22711,0.141,0.25,0.155
22991,0.322,0.095,0.237
27696,0.873,0.218,0.259
23857,0.284,0.131,0.223
7011,0.2042,0.2528,0.2121
12931,0.195,0.22399999999999998,0.057999999999999996
24278,1.0,0.07200000000000001,0.47600000000000003
13260,0.37,0.198,0.213
27057,0.457,0.207,0.055
22607,0.14,0.247,0.19399999999999998
10108,0.2763,0.0834,0.228
22433,0.11900000000000001,0.265,0.16699999999999998
26300,0.469,0.134,0.048
27379,0.607,0.2,0.212
16242,0.252,0.165,0.26899999999999996
65,0.9981,0.1947,0.1647
1146,1.0,0.0655,0.3429
346,1.0,0.1002,0.5904
26451,0.35200000000000004,0.195,0.159
20414,0.271,0.21100000000000002,0.268
23614,0.8059999999999999,0.064,0.436
27454,0.735,0.16899999999999998,0.19899999999999998
6700,0.44,0.2228,0.2152
11347,0.2962,0.1599,0.1432
16099,0.221,0.16899999999999998,0.231
13161,0.539,0.198,0.27699999999999997
22071,0.451,0.221,0.111
23858,0.27,0.136,0.23
274,0.6918,0.1702,0.1639
6451,0.6382,0.1785,0.3661
16277,0.344,0.185,0.40700000000000003
515,0.9751,0.2098,0.4435
10361,0.3966,0.1893,0.2401
24273,1.0,0.078,0.51
7192,0.4063,0.1059,0.2702
18969,1.0,0.047,0.29
6563,0.7168,0.0799,0.39399999999999996
1897,1.0,0.0695,0.6074
24396,1.0,0.02,0.294
12851,0.163,0.214,0.02
5128,0.9507,0.102,0.4754
6573,0.7716,0.0774,0.4084
16166,0.244,0.18600000000000003,0.25
16423,0.34,0.179,0.39399999999999996
15958,0.613,0.107,0.46799999999999997
1094,0.8381,0.1198,0.198
5888,0.6942,0.2585,0.2198
21623,0.391,0.221,0.073
22544,0.126,0.247,0.168
3311,1.0,0.0708,0.2166
15067,1.0,0.059000000000000004,0.494
25189,1.0,0.05,0.625
13582,0.301,0.24100000000000002,0.179
1775,1.0,0.02,0.3597
9479,0.1695,0.2251,0.1684
7715,0.3645,0.1581,0.3974
4494,0.9063,0.1206,0.2509
25438,0.19899999999999998,0.21,0.16
10718,0.1297,0.2075,0.2681
26475,0.18100000000000002,0.172,0.102
21989,0.435,0.22,0.1
11208,0.1605,0.2225,0.1004
5075,1.0,0.0971,0.4814
16075,0.285,0.16699999999999998,0.32
23720,0.511,0.057999999999999996,0.502
8704,0.5134,0.2231,0.3334
8359,0.215,0.2488,0.2748
17024,0.34299999999999997,0.231,0.13699999999999998
12119,1.0,0.0583,0.2829
11045,0.2081,0.24100000000000002,0.1231
20878,0.209,0.23399999999999999,0.254
27674,0.618,0.21899999999999997,0.436
16377,0.228,0.242,0.33899999999999997
10396,0.315,0.2287,0.2879
21857,0.42200000000000004,0.174,0.073
25672,0.15,0.24100000000000002,0.128
21848,0.461,0.17800000000000002,0.068
2698,0.0934,0.2226,0.0342
5724,0.6925,0.2709,0.2479
10011,0.275,0.1843,0.2352
10229,0.2891,0.1572,0.3444
16305,0.22699999999999998,0.239,0.324
4993,1.0,0.0422,0.4668
22379,0.12300000000000001,0.264,0.165
12664,0.205,0.19699999999999998,0.075
21712,0.46799999999999997,0.207,0.061
7012,0.2043,0.2534,0.215
24172,1.0,0.083,0.5489999999999999
11725,0.2964,0.1825,0.1268
11792,0.2566,0.1962,0.1023
2465,0.1034,0.22399999999999998,0.0193
11392,0.2461,0.1723,0.1104
6960,0.2025,0.2354,0.2131
8516,0.3859,0.2239,0.4004
4801,1.0,0.0376,0.3916
781,1.0,0.0258,0.3908
19682,0.113,0.23199999999999998,0.083
6489,1.0,0.0639,0.5572
19635,0.111,0.245,0.09300000000000001
4549,0.9177,0.222,0.042
111,0.4726,0.1486,0.1942
5609,0.7414,0.1011,0.3178
2672,0.5715,0.2191,0.2342
5554,1.0,0.0329,0.4816
26031,0.21100000000000002,0.235,0.196
368,0.9045,0.1683,0.45
19063,0.245,0.10300000000000001,0.322
6473,1.0,0.0607,0.4212
22331,0.12,0.263,0.152
12111,0.8478,0.1177,0.3592
27078,0.445,0.20600000000000002,0.038
11084,0.2061,0.2463,0.1427
12967,0.256,0.214,0.07400000000000001
14760,1.0,0.079,0.499
2529,0.3556,0.1966,0.0836
22087,0.424,0.223,0.113
25038,1.0,0.065,0.595
12699,0.539,0.121,0.146
7527,0.2056,0.2181,0.3436
9571,0.2018,0.2225,0.2135
27387,0.7609999999999999,0.16699999999999998,0.179
14654,1.0,0.065,0.6970000000000001
5161,0.9509,0.1048,0.6861
23098,0.153,0.22399999999999998,0.17600000000000002
20373,0.106,0.26,0.10800000000000001
16065,0.371,0.153,0.361
15661,0.107,0.275,0.215
6701,0.4227,0.2164,0.1932
249,1.0,0.2251,0.0236
26935,0.426,0.207,0.055999999999999994
22517,0.14,0.23199999999999998,0.15
12138,1.0,0.02,0.376
11331,0.2749,0.1789,0.1504
22917,0.406,0.168,0.302
27135,0.42,0.18899999999999997,0.047
3559,0.938,0.1093,0.3534
26676,0.359,0.151,0.212
11005,0.2201,0.2273,0.1183
6339,1.0,0.02,0.4217
138,0.9364,0.2112,0.1681
10614,0.4307,0.2273,0.22
15399,0.102,0.272,0.145
3809,0.9592,0.1085,0.2648
6940,0.2094,0.2219,0.2133
13566,0.35,0.218,0.20199999999999999
24207,1.0,0.02,0.489
12684,0.586,0.084,0.121
8155,0.1379,0.2216,0.1327
7893,0.7796,0.1406,0.4503
26791,0.637,0.141,0.37200000000000005
7755,0.5064,0.1458,0.3971
15054,1.0,0.039,0.483
6386,0.8145,0.2016,0.3572
14881,0.667,0.094,0.19699999999999998
15085,0.397,0.145,0.12300000000000001
1598,1.0,0.1046,0.3038
8356,0.2545,0.2459,0.2981
24972,1.0,0.055999999999999994,0.439
1029,0.8701,0.1256,0.2987
27803,1.0,0.038,0.248
1732,1.0,0.0661,0.3988
498,1.0,0.1972,0.3212
26430,0.331,0.198,0.12
26805,0.61,0.085,0.231
23165,0.114,0.23,0.14
13266,0.37200000000000005,0.19899999999999998,0.244
13812,0.97,0.11,0.28600000000000003
21758,0.526,0.221,0.037000000000000005
13232,0.28300000000000003,0.084,0.156
24604,0.9420000000000001,0.134,0.319
17003,0.425,0.217,0.217
8181,0.1942,0.1987,0.0769
22943,0.228,0.188,0.228
13668,0.341,0.248,0.149
14807,1.0,0.085,0.324
25298,0.16899999999999998,0.203,0.168
26926,0.45399999999999996,0.20199999999999999,0.047
11082,0.2052,0.2457,0.1253
8294,0.2477,0.2413,0.2101
27788,1.0,0.055,0.6709999999999999
18530,1.0,0.075,0.48700000000000004
21658,0.34600000000000003,0.22,0.05
20652,0.11599999999999999,0.256,0.156
4130,0.2341,0.2016,0.0353
13425,0.307,0.23800000000000002,0.185
16905,0.244,0.19699999999999998,0.298
14776,1.0,0.08900000000000001,0.56
208,1.0,0.1342,0.4888
15871,0.711,0.094,0.544
370,0.8584,0.1518,0.4579
6444,0.3887,0.2027,0.3598
16141,0.196,0.165,0.297
10585,0.3808,0.1755,0.2905
24559,0.877,0.125,0.294
1596,1.0,0.1062,0.2976
434,1.0,0.095,0.2856
10381,0.2647,0.2309,0.2349
6689,0.3845,0.2428,0.2702
800,1.0,0.0387,0.3855
660,1.0,0.02,0.184
19052,0.39799999999999996,0.084,0.395
21387,0.544,0.11,0.485
15943,0.389,0.182,0.43700000000000006
16539,0.5429999999999999,0.086,0.38299999999999995
21822,0.28800000000000003,0.21100000000000002,0.09699999999999999
10302,0.3648,0.2386,0.4274
6468,1.0,0.1416,0.414
27012,0.256,0.08199999999999999,0.051
10044,0.3361,0.212,0.2545
3492,1.0,0.0707,0.2791
15734,0.532,0.262,0.158
26433,0.35,0.209,0.132
27349,0.643,0.23,0.324
3592,0.9602,0.111,0.3114
13709,0.498,0.258,0.275
2363,1.0,0.1108,0.3354
10752,0.6098,0.2379,0.3813
280,0.5509,0.1309,0.1333
16976,0.392,0.196,0.361
20850,0.166,0.223,0.32
27281,0.22,0.172,0.201
22476,0.127,0.258,0.17600000000000002
21904,0.45799999999999996,0.203,0.102
13733,1.0,0.051,0.423
22728,0.138,0.245,0.174
10010,0.2748,0.1816,0.2275
25232,1.0,0.02,0.435
21770,0.52,0.215,0.040999999999999995
4487,1.0,0.0933,0.3123
22614,0.15,0.24100000000000002,0.191
22222,0.295,0.207,0.113
10911,0.9617,0.0801,0.22399999999999998
22941,0.231,0.18600000000000003,0.222
9577,0.2127,0.2227,0.2139
27076,0.44799999999999995,0.20600000000000002,0.037000000000000005
1632,1.0,0.0914,0.2199
15844,0.34600000000000003,0.16899999999999998,0.355
9764,0.2611,0.2182,0.2453
22420,0.11800000000000001,0.265,0.156
6924,0.2356,0.2127,0.2347
25231,1.0,0.02,0.44299999999999995
16274,0.415,0.147,0.433
8255,0.3021,0.237,0.2464
3160,0.6344,0.1555,0.4062
3617,1.0,0.0862,0.2871
3099,0.9546,0.1891,0.2094
25297,0.17,0.204,0.155
13731,1.0,0.057999999999999996,0.433
24877,1.0,0.044000000000000004,0.387
13769,1.0,0.064,0.295
21065,0.13699999999999998,0.247,0.214
5908,0.6886,0.2552,0.2135
21115,0.121,0.257,0.177
22239,0.31,0.21100000000000002,0.113
26870,0.42,0.193,0.226
23455,0.172,0.225,0.293
7271,0.3923,0.1686,0.1304
16225,0.24600000000000002,0.18,0.243
25618,0.237,0.099,0.121
94,1.0,0.0211,0.1592
11903,1.0,0.049,0.5957
12997,0.47,0.161,0.233
4961,1.0,0.0735,0.4647
7827,0.2664,0.2614,0.1955
2554,0.3489,0.2091,0.1081
16714,0.447,0.105,0.369
16762,0.322,0.183,0.304
3741,1.0,0.1083,0.3421
9684,0.2636,0.2311,0.2607
19822,0.787,0.094,0.385
2689,0.2109,0.1854,0.0508
